Marca,Model,An,CP,Pret
BMW,M135i,2022,306,52003
BMW,M3,2022,480,88774
BMW,M3,2022,480,88774
Porsche,718 Cayman GT4,2022,414,106446
Porsche,Taycan GTS,2022,450,137442
